postcode,population,mean_age,perc_foreigners,salary
730,5709,46,0.05,25211.0
731,4275,46,0.06,24803.0
732,9287,41,0.04,25064.0
733,902,43,0.08,24922.0
734,602,44,0.07,23843.0
735,1043,43,0.01,15932.0
736,1007,46,0.01,16116.0
737,1012,43,0.0,16358.0
738,212,46,0.03,19290.0
739,194,50,0.01,13969.0
740,758,45,0.01,15070.0
741,6192,41,0.3,24318.0
742,6060,42,0.33,23453.0
743,16568,42,0.28,26096.0
744,32077,38,0.2,26934.0
745,24437,39,0.3,25198.0
746,28842,39,0.25,27005.0
747,34435,38,0.22,26161.0
748,48471,37,0.19,26225.0
749,14499,37,0.12,27049.0
750,35065,38,0.17,28080.0
751,36956,37,0.16,27173.0
752,7192,41,0.25,25648.0
753,34392,37,0.18,27733.0
754,24992,38,0.23,27029.0
755,19166,39,0.34,25168.0
756,999,42,0.56,23103.0
757,1186,42,0.57,23140.0
758,2676,43,0.36,23540.0
759,1824,44,0.39,23806.0
760,2647,38,0.19,27000.0
761,6949,41,0.21,24454.0
762,7856,41,0.19,25483.0
763,10471,39,0.2,28701.0
764,2774,40,0.16,25595.0
765,2029,39,0.35,25371.0
766,2245,43,0.06,27437.0
767,1290,47,0.04,25780.0
768,475,44,0.08,31197.0
769,509,47,0.02,25567.0
770,268,44,0.02,27820.0
771,85,47,0.04,20047.0
772,174,41,0.02,24257.0
773,595,44,0.18,29364.0
774,28137,36,0.1,25874.0
775,5661,35,0.07,30192.0
776,11611,37,0.09,28012.0
777,7439,37,0.09,29807.0
778,23924,38,0.11,26010.0
779,6892,44,0.07,24704.0
780,7649,40,0.03,19706.0
781,283,39,0.01,17319.0
782,351,47,0.01,17450.0
783,1091,52,0.03,15542.0
784,2203,45,0.12,17134.0
785,2510,37,0.07,27657.0
786,1367,40,0.03,21493.0
787,19239,39,0.06,20298.0
788,3090,39,0.09,18769.0
789,454,53,0.03,17809.0
790,270,53,0.05,19281.0
791,864,49,0.08,21774.0
792,807,49,0.09,20393.0
793,598,49,0.06,21825.0
794,781,52,0.04,19621.0
795,509,53,0.05,21466.0
796,81,50,0.03,15306.0
797,10696,42,0.21,25126.0
798,23773,41,0.12,26002.0
799,337,51,0.07,22765.0
800,5436,41,0.12,21227.0
801,321,52,0.06,19602.0
802,299,51,0.05,21481.0
803,445,50,0.05,19951.0
804,190,46,0.1,20241.0
805,581,51,0.05,20836.0
806,504,52,0.02,20378.0
807,431,54,0.04,18841.0
808,721,46,0.16,19781.0
809,554,50,0.1,20201.0
810,3834,47,0.15,19996.0
811,90,53,0.07,26549.0
812,137,50,0.08,19621.0
813,3157,40,0.02,18792.0
814,1337,44,0.04,16775.0
815,566,46,0.06,17559.0
816,325,52,0.1,14408.0
817,33,52,0.1,14408.0
818,2955,40,0.13,17450.0
819,191,40,0.11,17526.0
820,190,43,0.08,17057.0
821,1112,42,0.02,18322.0
822,1144,46,0.04,17953.0
823,3003,39,0.04,21441.0
824,3163,44,0.06,19804.0
825,444,46,0.09,23531.0
826,134,45,0.01,39398.0
827,105,48,0.02,21058.0
828,214,49,0.02,16034.0
829,1216,50,0.01,15088.0
830,4846,38,0.03,19226.0
831,290,51,0.03,14519.0
832,447,50,0.0,14640.0
833,915,49,0.0,15416.0
834,1089,42,0.02,15942.0
835,6151,32,0.04,20698.0
836,299,46,0.04,15942.0
837,458,38,0.03,19014.0
838,7274,41,0.03,18853.0
839,2847,42,0.02,16245.0
